DATE,TIME,Voltage,Current,Power,Unit
10-06-2024,11:43:25,269.7,181.69,49,0.06
10-06-2024,11:43:30,249.92,116.99,29.24,0.11
10-06-2024,11:43:36,250.32,119.1,29.81,0.16
10-06-2024,11:43:43,250.16,126.67,31.69,0.21
10-06-2024,11:43:48,248.83,115.12,28.64,0.26
10-06-2024,11:43:54,250.64,114.65,28.74,0.31
10-06-2024,11:44:00,248.23,124.81,30.98,0.36
10-06-2024,11:44:06,246.57,117.57,28.99,0.4
10-06-2024,11:44:12,235.98,111.9,26.41,0.45
10-06-2024,11:44:19,246.57,119.81,29.54,0.51
10-06-2024,6:57:24,261.45,191.44,50.05,0.05
10-06-2024,6:57:29,251.23,152.56,38.33,0.08
10-06-2024,6:57:34,254.3,182.08,46.3,0.14
10-06-2024,6:57:39,241.12,116.49,28.09,0.11
10-06-2024,6:57:44,253.96,140.23,35.61,0.18
10-06-2024,6:57:49,250.86,152.82,38.34,0.23
10-06-2024,6:57:54,256.42,165.36,42.4,0.3
10-06-2024,6:57:59,247.77,182.62,45.25,0.36
10-06-2024,6:58:04,263.89,123.81,32.67,0.29
10-06-2024,6:58:09,261.53,192.35,50.31,0.5
10-06-2024,6:58:14,263.59,141.44,37.28,0.41
10-06-2024,6:58:19,257.49,180.41,46.45,0.56
10-06-2024,6:58:24,256.8,146.16,37.53,0.49
10-06-2024,6:58:29,257.84,124.21,32.03,0.45
10-06-2024,6:58:34,253.11,193.57,48.99,0.73
10-06-2024,6:58:39,269.13,195.13,52.52,0.84
10-06-2024,6:58:44,253.22,179.15,45.36,0.77
10-06-2024,6:58:49,249.39,133.34,33.25,0.6
10-06-2024,6:58:54,242.32,197.65,47.89,0.91
10-06-2024,6:58:59,248.39,151.11,37.53,0.75
10-06-2024,6:59:04,248.37,184.12,45.73,0.96
10-06-2024,6:59:09,265.34,168.99,44.84,0.99
10-06-2024,6:59:14,251.02,145.63,36.56,0.84
10-06-2024,6:59:19,247.58,197.12,48.8,1.17
10-06-2024,6:59:24,246.89,123.22,30.42,0.76
10-06-2024,6:59:29,253.25,119.54,30.27,0.79
10-06-2024,6:59:34,264.76,103.33,27.36,0.74
10-06-2024,6:59:39,249.24,104.59,26.07,0.73
10-06-2024,6:59:44,254.86,113.88,29.02,0.84
10-06-2024,6:59:49,266.12,154.82,41.2,1.24
10-06-2024,6:59:54,266.32,107.44,28.61,0.89
10-06-2024,6:59:59,251.43,105.69,26.57,0.85
10-06-2024,7:00:04,265.03,161.66,42.84,1.41
10-06-2024,7:00:09,250.73,192.34,48.23,1.64
10-06-2024,7:00:14,253.05,145.42,36.8,1.29
10-06-2024,7:00:19,241.56,123.92,29.93,1.08
10-06-2024,7:00:24,258.93,150.79,39.04,1.44
10-06-2024,7:00:29,267.01,127.78,34.12,1.3
10-06-2024,7:00:34,267.83,168.34,45.09,1.76
10-06-2024,7:00:39,246.99,134.94,33.33,1.33
10-06-2024,7:00:44,257.4,162.71,41.88,1.72
10-06-2024,7:00:49,252.83,188.57,47.68,2
10-06-2024,7:00:54,247.33,114.44,28.3,1.22
10-06-2024,7:00:59,248.94,118.39,29.47,1.3
10-06-2024,7:01:04,261.12,177.68,46.4,2.09
10-06-2024,7:01:09,255.56,135.44,34.61,1.59
10-06-2024,7:01:14,268.21,105.06,28.18,1.32
10-06-2024,7:01:19,252.43,146.45,36.97,1.77
10-06-2024,7:01:24,258.27,180.71,46.67,2.29
10-06-2024,7:01:29,248.79,129.68,32.26,1.61
10-06-2024,7:01:34,246.1,137.35,33.8,1.72
10-06-2024,7:01:39,245.78,163.52,40.19,2.09
10-06-2024,7:01:44,260.26,121.33,31.58,1.67
10-06-2024,7:01:49,267.61,115.88,31.01,1.67
10-06-2024,7:01:54,240.78,134.09,32.29,1.78
10-06-2024,7:01:59,253.01,108.41,27.43,1.54
10-06-2024,7:02:04,247.27,102.16,25.26,1.44
10-06-2024,7:02:09,266.06,147.76,39.31,2.28
10-06-2024,7:02:14,253.11,142.8,36.14,2.13
10-06-2024,7:02:19,252.63,188.32,47.58,2.85
10-06-2024,7:02:24,264.85,137.65,36.46,2.22
10-06-2024,7:02:29,252.51,122.55,30.95,1.92
10-06-2024,7:02:34,269.04,171.78,46.22,2.91
10-06-2024,7:02:39,247.48,102.66,25.41,1.63
10-06-2024,7:02:44,242.22,190.66,46.18,3
10-06-2024,7:02:49,261.25,159.88,41.77,2.76
10-06-2024,7:02:54,267.2,142.01,37.95,2.54
10-06-2024,7:02:59,260.79,101.48,26.46,1.8
10-06-2024,7:03:04,261.65,173.39,45.37,3.13
10-06-2024,7:03:09,257.47,194.45,50.07,3.5
10-06-2024,7:03:14,269.46,166.43,44.85,3.18
10-06-2024,7:03:19,243.9,197.59,48.19,3.47
10-06-2024,7:03:24,247.01,193.3,47.75,3.49
10-06-2024,7:03:29,258.32,184.07,47.55,3.52
10-06-2024,7:03:34,260.82,115.14,30.03,2.25
10-06-2024,7:03:39,252.9,119.08,30.12,2.29
10-06-2024,7:03:44,248.06,153.35,38.04,2.93
10-06-2024,7:03:49,253.82,128.12,32.52,2.54
10-06-2024,7:03:54,255.02,168.48,42.97,3.39
10-06-2024,7:03:59,268.72,108.25,29.09,2.33
10-06-2024,7:04:04,250.92,182.91,45.9,3.72
